time,CSI
12.852266311645508,[110 96 6 0 0 0 0 0 0 0 0 0 17 3 17 3 17 4 18 5 17 5 17 5 17 6 16 6 16 6 15 7 15 7 15 7 15 8 14 8 15 7 14 8 13 8 13 7 14 7 14 7 13 8 13 7 13 7 13 7 13 7 12 7 0 0 12 6 12 6 13 5 12 6 12 5 12 5 12 4 12 4 12 4 12 4 12 3 13 3 12 2 12 2 13 2 13 2 13 1 13 1 13 1 13 1 14 1 14 0 14 0 14 -1 14 0 14 -1 0 0 0 0 0 0 0 0 0 0 ]
12.948951959609985,[110 96 6 0 0 0 0 0 0 0 0 0 16 -5 15 -4 16 -4 16 -3 16 -3 16 -3 16 -1 15 -2 15 -2 16 -1 15 0 15 1 15 1 15 0 15 1 15 1 14 1 14 1 14 1 14 1 14 1 13 0 13 1 13 1 13 1 13 0 0 0 12 0 13 0 12 -1 12 -1 12 -1 12 -2 11 -1 12 -2 11 -2 11 -2 11 -3 11 -2 11 -3 11 -3 11 -4 11 -4 11 -5 11 -4 11 -5 11 -5 11 -5 11 -6 12 -6 12 -6 11 -6 11 -7 0 0 0 0 0 0 0 0 0 0 ]
13.049956798553467,[110 96 6 0 0 0 0 0 0 0 0 0 -14 12 -14 11 -15 10 -16 10 -15 10 -16 9 -17 8 -16 8 -16 7 -16 7 -16 7 -16 7 -16 7 -16 7 -16 6 -16 5 -16 6 -15 6 -16 6 -15 5 -15 5 -15 5 -14 5 -14 5 -14 5 -14 5 0 0 -13 6 -13 5 -13 6 -12 6 -13 7 -13 7 -12 6 -11 7 -11 7 -11 7 -11 8 -11 8 -11 8 -10 9 -10 9 -10 9 -11 10 -10 10 -10 10 -10 9 -9 10 -9 11 -10 11 -9 11 -9 11 -9 11 0 0 0 0 0 0 0 0 0 0 ]
13.146783351898193,[110 96 6 0 0 0 0 0 0 0 0 0 -1 18 -1 17 -2 17 -3 18 -3 17 -3 18 -5 17 -5 17 -5 16 -5 16 -5 17 -5 17 -5 16 -6 16 -6 15 -6 16 -6 15 -6 14 -6 15 -6 14 -6 14 -6 13 -6 14 -5 13 -5 14 -5 13 0 0 -4 13 -5 13 -4 13 -4 13 -4 12 -4 12 -3 12 -3 12 -3 13 -3 13 -2 13 -2 13 -1 13 -1 13 -1 13 0 13 0 13 1 13 1 14 0 13 1 14 0 14 1 13 2 14 3 14 2 14 0 0 0 0 0 0 0 0 0 0 ]
13.239753484725952,[110 96 6 0 0 0 0 0 0 0 0 0 15 13 15 13 14 14 14 14 14 14 13 15 13 16 12 16 12 16 11 16 11 16 11 16 10 16 10 16 10 16 10 16 9 16 9 15 9 16 9 15 9 15 8 14 9 15 8 15 8 14 8 14 0 0 9 13 9 13 9 13 9 12 9 12 9 12 10 11 10 11 10 11 10 11 10 11 10 10 11 10 11 10 11 10 12 9 12 9 12 9 13 9 13 9 13 9 13 8 14 8 14 8 14 8 14 8 0 0 0 0 0 0 0 0 0 0 ]
13.337951421737671,[110 96 6 0 0 0 0 0 0 0 0 0 3 -14 3 -15 5 -15 5 -15 5 -14 5 -15 6 -14 6 -14 6 -14 6 -13 7 -13 6 -13 7 -13 7 -13 7 -13 7 -13 8 -13 7 -12 7 -12 7 -12 7 -12 7 -12 7 -12 7 -12 7 -12 7 -12 0 0 6 -12 6 -11 7 -12 6 -11 6 -12 6 -12 5 -12 5 -12 5 -12 5 -12 5 -12 4 -13 4 -13 5 -13 3 -13 4 -13 4 -13 3 -13 3 -14 2 -13 2 -15 3 -14 2 -14 2 -14 2 -14 2 -15 0 0 0 0 0 0 0 0 0 0 ]
13.437953233718872,[110 96 6 0 0 0 0 0 0 0 0 0 9 -12 9 -13 10 -12 10 -12 10 -11 11 -11 10 -10 11 -10 11 -10 11 -10 11 -10 11 -10 12 -10 11 -9 12 -9 11 -9 11 -9 12 -9 11 -9 12 -8 12 -8 11 -8 11 -8 11 -8 11 -8 11 -8 0 0 10 -9 10 -8 10 -9 10 -9 10 -9 10 -9 9 -9 9 -10 9 -9 9 -10 9 -10 9 -10 8 -10 8 -10 8 -10 8 -11 9 -12 8 -12 8 -11 8 -12 8 -12 7 -12 7 -12 8 -13 7 -13 7 -13 0 0 0 0 0 0 0 0 0 0 ]
13.542200565338135,[110 96 6 0 0 0 0 0 0 0 0 0 -4 -13 -4 -14 -3 -15 -3 -14 -2 -14 -2 -14 -2 -15 -1 -14 0 -14 -1 -14 -1 -15 0 -14 0 -14 1 -14 1 -14 1 -14 1 -14 1 -13 1 -14 1 -14 1 -14 1 -14 1 -13 1 -13 1 -14 1 -14 0 0 0 -13 1 -13 0 -13 0 -13 0 -13 0 -14 0 -13 0 -14 -1 -13 -1 -13 -2 -13 -1 -13 -1 -14 -1 -14 -2 -14 -2 -14 -2 -14 -2 -14 -3 -14 -2 -14 -3 -14 -2 -14 -3 -15 -3 -14 -3 -14 -4 -14 0 0 0 0 0 0 0 0 0 0 ]
13.632180452346802,[110 96 6 0 0 0 0 0 0 0 0 0 14 9 13 10 13 10 12 10 12 10 12 11 12 11 11 11 11 11 10 11 11 12 10 12 10 12 9 12 9 11 9 12 9 12 9 12 9 11 9 11 8 11 9 11 9 12 8 11 8 11 8 11 0 0 9 10 9 10 9 10 10 10 9 10 9 9 9 9 10 9 10 9 10 9 11 9 11 8 11 8 11 8 12 7 11 7 12 7 12 7 12 7 12 7 12 7 12 6 13 6 13 6 13 6 13 6 0 0 0 0 0 0 0 0 0 0 ]
13.737508535385132,[110 96 6 0 0 0 0 0 0 0 0 0 0 16 -2 16 -2 16 -3 16 -3 16 -3 15 -4 16 -4 16 -4 15 -5 16 -4 15 -5 15 -5 15 -5 15 -5 14 -5 15 -6 14 -6 14 -6 14 -6 14 -6 14 -6 13 -5 14 -5 14 -5 14 -5 13 0 0 -5 13 -5 14 -5 13 -4 13 -4 13 -4 13 -4 13 -4 13 -3 13 -3 14 -2 14 -2 14 -2 14 -2 14 -1 14 -1 14 -1 14 0 14 0 14 0 14 0 15 0 14 0 15 1 15 2 14 1 14 0 0 0 0 0 0 0 0 0 0 ]
